Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit,Value(Dollars)
2020,216299,GRAPESWINE,1,Alameda,2530,5.14,13000,1497.69,Tons,19470000
2020,216299,GRAPESWINE,5,Amador,5360,2.31,12400,1318.31,Tons,16347000
2020,216299,GRAPESWINE,9,Calaveras,579,3.06,1770,1325.99,Tons,2347000
2020,216299,GRAPESWINE,11,Colusa,747,6.02,4500,684.67,Tons,3081000
2020,216299,GRAPESWINE,13,ContraCosta,1940,4.69,9090,751.27,Tons,6829000
2020,216299,GRAPESWINE,17,ElDorado,2620,2.38,6240,1548.56,Tons,9663000
2020,216299,GRAPESWINE,19,Fresno,56900,12.13,690000,362.14,Tons,249877000
2020,216299,GRAPESWINE,29,Kern,25200,7.54,190000,314.04,Tons,59668000
2020,216299,GRAPESWINE,31,Kings,3590,16.46,59100,286.87,Tons,16954000
2020,216299,GRAPESWINE,33,Lake,9580,4.12,39500,1329.37,Tons,52510000
2020,216299,GRAPESWINE,39,Madera,33000,11.82,390000,348.98,Tons,136101000
2020,216299,GRAPESWINE,41,Marin,195,1.33,260,3607.69,Tons,938000
2020,216299,GRAPESWINE,45,Mendocino,16400,3.37,55200,1488.8,Tons,82182000
2020,216299,GRAPESWINE,47,Merced,13200,10.91,144000,440.41,Tons,63419000
2020,216299,GRAPESWINE,53,Monterey,44900,2.1,94300,1123.98,Tons,105991000
2020,216299,GRAPESWINE,55,Napa,45200,2.2,99300,4646.48,Tons,461395000
2020,216299,GRAPESWINE,57,Nevada,408,,,,,2666000
2020,216299,GRAPESWINE,61,Placer,315,2.79,879,2235.49,Tons,1965000
2020,216299,GRAPESWINE,65,Riverside,1740,6.72,11700,1623.93,Tons,19000000
2020,216299,GRAPESWINE,67,Sacramento,36000,8.19,295000,528.73,Tons,155975000
2020,216299,GRAPESWINE,69,SanBenito,4740,5.23,24800,1402.14,Tons,34773000
2020,216299,GRAPESWINE,71,SanBernardino,372,0.61,227,1938.33,Tons,440000
2020,216299,GRAPESWINE,73,SanDiego,1370,2.24,3070,1695.77,Tons,5206000
2020,216299,GRAPESWINE,77,SanJoaquin,91200,6.67,608000,560.71,Tons,340913000
2020,216299,GRAPESWINE,79,SanLuisObispo,43800,3.04,133000,1640.89,Tons,218238000
2020,216299,GRAPESWINE,81,SanMateo,176,,,,,1312000
2020,216299,GRAPESWINE,83,SantaBarbara,14400,2.97,42800,2192.43,Tons,93836000
2020,216299,GRAPESWINE,85,SantaClara,1730,3.49,6040,1983.77,Tons,11982000
2020,216299,GRAPESWINE,87,SantaCruz,670,2.39,1600,3008.75,Tons,4814000
2020,216299,GRAPESWINE,89,Shasta,200,2.5,500,1000,Tons,500000
2020,216299,GRAPESWINE,95,Solano,4000,5.6,22400,945.94,Tons,21189000
2020,216299,GRAPESWINE,97,Sonoma,56800,2.61,148000,2375.08,Tons,351512000
2020,216299,GRAPESWINE,99,Stanislaus,8500,9.49,80700,440.61,Tons,35557000
2020,216299,GRAPESWINE,103,Tehama,138,4.23,584,1804.79,Tons,1054000
2020,216299,GRAPESWINE,107,Tulare,6500,17.23,112000,317,Tons,35504000
2020,216299,GRAPESWINE,113,Yolo,19200,7.81,150000,699.67,Tons,104951000
2019,216299,GRAPESWINE,1,Alameda,3390,5.34,18100,1503.04,Tons,27205000
2019,216299,GRAPESWINE,5,Amador,4880,3.55,17300,1250,Tons,21625000
2019,216299,GRAPESWINE,9,Calaveras,711,4.5,3200,1419.69,Tons,4543000
2019,216299,GRAPESWINE,11,Colusa,1890,8.84,16700,806.35,Tons,13466000
2019,216299,GRAPESWINE,13,ContraCosta,2140,5.47,11700,809.4,Tons,9470000
2019,216299,GRAPESWINE,17,ElDorado,2640,2.66,7020,1722.51,Tons,12092000
2019,216299,GRAPESWINE,19,Fresno,53500,13.83,740000,343.65,Tons,254300000
2019,216299,GRAPESWINE,29,Kern,28500,8.46,241000,238.81,Tons,57554000
2019,216299,GRAPESWINE,31,Kings,3670,17.19,63100,268.86,Tons,16965000
2019,216299,GRAPESWINE,33,Lake,9340,5.05,47200,1773.62,Tons,83715000
2019,216299,GRAPESWINE,39,Madera,34100,11.26,384000,340.01,Tons,130562000
2019,216299,GRAPESWINE,41,Marin,195,2.08,406,3371.92,,1369000
2019,216299,GRAPESWINE,43,Mariposa,73,0.52,38,1263.16,Tons,48000
2019,216299,GRAPESWINE,45,Mendocino,16500,4.11,67800,1678.6,Tons,113809000
2019,216299,GRAPESWINE,47,Merced,13200,11.36,150000,398.3,Tons,59745000
2019,216299,GRAPESWINE,53,Monterey,44700,2.95,132000,1409.82,Tons,186096000
2019,216299,GRAPESWINE,55,Napa,44200,3.62,160000,5862.26,Tons,937962000
2019,216299,GRAPESWINE,57,Nevada,416,3.92,1630,1564.42,,2550000
2019,216299,GRAPESWINE,61,Placer,307,3.75,1150,1386.09,Tons,1594000
2019,216299,GRAPESWINE,65,Riverside,1730,3.82,6600,2503.64,Tons,16524000
2019,216299,GRAPESWINE,67,Sacramento,35500,8.9,316000,555.13,Tons,175422000
2019,216299,GRAPESWINE,69,SanBenito,4740,4.62,21900,1526.21,Tons,33424000
2019,216299,GRAPESWINE,71,SanBernardino,219,1.38,302,1231.79,Tons,372000
2019,216299,GRAPESWINE,73,SanDiego,1510,2.38,3600,1550,Tons,5580000
2019,216299,GRAPESWINE,77,SanJoaquin,95900,7.11,682000,546.14,Tons,372467000
2019,216299,GRAPESWINE,79,SanLuisObispo,48400,3.1,150000,1695.15,Tons,254273000
2019,216299,GRAPESWINE,81,SanMateo,181,,,,,1341000
2019,216299,GRAPESWINE,83,SantaBarbara,14900,3.37,50200,2113.13,Tons,106079000
2019,216299,GRAPESWINE,85,SantaClara,1700,3.4,5780,1997.4,Tons,11545000
2019,216299,GRAPESWINE,87,SantaCruz,679,2.55,1730,3384.97,Tons,5856000
2019,216299,GRAPESWINE,89,Shasta,170,1.7,289,1000,Tons,289000
2019,216299,GRAPESWINE,95,Solano,3730,5.47,20400,1058.19,Tons,21587000
2019,216299,GRAPESWINE,97,Sonoma,57500,4,230000,2843.57,Tons,654021000
2019,216299,GRAPESWINE,99,Stanislaus,9230,9.17,84600,481.54,Tons,40738000
2019,216299,GRAPESWINE,103,Tehama,162,3.36,544,1604.78,Tons,873000
2019,216299,GRAPESWINE,105,Trinity,44,1.93,85,1729.41,Tons,147000
2019,216299,GRAPESWINE,107,Tulare,6260,18.69,117000,290,Tons,33930000
2019,216299,GRAPESWINE,113,Yolo,19100,7.17,137000,789.36,Tons,108143000
2018,216299,GRAPESWINE,1,Alameda,3390,5.34,18100,1503.04,Tons,27205000
2018,216299,GRAPESWINE,5,Amador,4910,3.71,18200,1362.09,Tons,24790000
2018,216299,GRAPESWINE,9,Calaveras,711,3.21,2280,1486.84,Tons,3390000
2018,216299,GRAPESWINE,11,Colusa,1970,8.22,16200,853.46,Tons,13826000
2018,216299,GRAPESWINE,13,ContraCosta,2440,5.29,12900,897.83,Tons,11582000
2018,216299,GRAPESWINE,17,ElDorado,2670,2.57,6850,1630.51,Tons,11169000
2018,216299,GRAPESWINE,19,Fresno,59500,12.92,769000,373.14,Tons,286941000
2018,216299,GRAPESWINE,29,Kern,29200,9.45,276000,299.00,Tons,82523000
2018,216299,GRAPESWINE,31,Kings,3670,15.07,55300,293.16,Tons,16212000
2018,216299,GRAPESWINE,33,Lake,9250,5.02,46400,1755.82,Tons,81470000
2018,216299,GRAPESWINE,39,Madera,34800,11.15,388000,323.02,Tons,125331000
2018,216299,GRAPESWINE,41,Marin,195,1.96,382,3201.57,Tons,1223000
2018,216299,GRAPESWINE,43,Mariposa,73,0.52,38,1263.16,Tons,48000
2018,216299,GRAPESWINE,45,Mendocino,16700,4.90,81900,1684.40,Tons,137952000
2018,216299,GRAPESWINE,47,Merced,13400,9.70,130000,392.85,Tons,51070000
2018,216299,GRAPESWINE,53,Monterey,44900,4.01,180000,1376.43,Tons,247758000
2018,216299,GRAPESWINE,55,Napa,43400,4.26,185000,5614.05,Tons,1038600000
2018,216299,GRAPESWINE,57,Nevada,416,4.52,1880,1284.57,Tons,2415000
2018,216299,GRAPESWINE,61,Placer,293,3.65,1070,1355.14,Tons,1450000
2018,216299,GRAPESWINE,65,Riverside,2310,3.81,8800,1623.52,Tons,14287000
2018,216299,GRAPESWINE,67,Sacramento,36400,8.79,320000,583.68,Tons,186777000
2018,216299,GRAPESWINE,69,SanBenito,4740,4.77,22600,1500.66,Tons,33915000
2018,216299,GRAPESWINE,71,SanBernardino,223,0.35,78,1205.13,Tons,94000
2018,216299,GRAPESWINE,73,SanDiego,1640,2.00,3280,1399.70,Tons,4591000
2018,216299,GRAPESWINE,77,SanJoaquin,97200,7.73,751000,573.23,Tons,430492000
2018,216299,GRAPESWINE,79,SanLuisObispo,42900,4.13,177000,1559.33,Tons,276002000
2018,216299,GRAPESWINE,81,SanMateo,126,,,,Tons,1407000
2018,216299,GRAPESWINE,83,SantaBarbara,16200,3.65,59100,2052.57,Tons,121307000
2018,216299,GRAPESWINE,85,SantaClara,1670,3.74,6250,1797.60,Tons,11235000
2018,216299,GRAPESWINE,87,SantaCruz,630,2.27,1430,2934.97,Tons,4197000
2018,216299,GRAPESWINE,89,Shasta,170,2.60,442,1138.01,Tons,503000
2018,216299,GRAPESWINE,95,Solano,3720,6.45,24000,1225.17,Tons,29404000
2018,216299,GRAPESWINE,97,Sonoma,59900,4.61,276000,2817.66,Tons,777675000
2018,216299,GRAPESWINE,103,Tehama,141,5.16,728,1837.91,Tons,1338000
2018,216299,GRAPESWINE,105,Trinity,44,1.93,85,1729.41,Tons,147000
2018,216299,GRAPESWINE,107,Tulare,8410,17.72,149000,314.00,Tons,46786000
2018,216299,GRAPESWINE,113,Yolo,14800,6.53,96600,865.38,Tons,83596000
2017,216299,GRAPESWINE,1,Alameda,2420,5.08,12300,1447.32,Tons,17802000
2017,216299,GRAPESWINE,5,Amador,4570,3.54,16200,1418.70,Tons,22983000
2017,216299,GRAPESWINE,9,Calaveras,683,2.94,2010,1479.10,Tons,2973000
2017,216299,GRAPESWINE,11,Colusa,1670,10.42,17400,773.10,Tons,13452000
2017,216299,GRAPESWINE,13,ContraCosta,2550,5.06,12900,924.03,Tons,11920000
2017,216299,GRAPESWINE,17,ElDorado,2340,2.53,5930,1503.20,Tons,8914000
2017,216299,GRAPESWINE,19,Fresno,59700,13.32,795000,361.02,Tons,287013000
2017,216299,GRAPESWINE,29,Kern,32200,8.60,277000,311.22,Tons,86209000
2017,216299,GRAPESWINE,31,Kings,3600,15.64,56300,287.14,Tons,16166000
2017,216299,GRAPESWINE,33,Lake,8230,5.65,46500,1691.27,Tons,78644000
2017,216299,GRAPESWINE,39,Madera,36800,10.65,392000,304.11,Tons,119212000
2017,216299,GRAPESWINE,41,Marin,195,1.49,291,3072.16,Tons,894000
2017,216299,GRAPESWINE,43,Mariposa,73,0.52,38,1263.16,Tons,48000
2017,216299,GRAPESWINE,45,Mendocino,16900,3.39,57300,1540.79,Tons,88287000
2017,216299,GRAPESWINE,47,Merced,13600,10.37,141000,349.32,Tons,49254000
2017,216299,GRAPESWINE,53,Monterey,44300,3.86,171000,1397.82,Tons,239027000
2017,216299,GRAPESWINE,55,Napa,43600,3.26,142000,5287.55,Tons,750832000
2017,216299,GRAPESWINE,57,Nevada,416,3.65,1520,1287.50,Tons,1957000
2017,216299,GRAPESWINE,61,Placer,270,3.01,814,1371.01,Tons,1116000
2017,216299,GRAPESWINE,65,Riverside,2530,3.44,8700,1520.34,Tons,13227000
2017,216299,GRAPESWINE,67,Sacramento,35300,7.79,275000,618.84,Tons,170181000
2017,216299,GRAPESWINE,69,SanBenito,4380,4.86,21300,1460.89,Tons,31117000
2017,216299,GRAPESWINE,71,SanBernardino,268,1.69,454,663.00,Tons,301000
2017,216299,GRAPESWINE,73,SanDiego,1210,2.30,2780,1386.33,Tons,3854000
2017,216299,GRAPESWINE,77,SanJoaquin,98100,6.79,666000,593.91,Tons,395541000
2017,216299,GRAPESWINE,79,SanLuisObispo,42200,3.89,164000,1632.09,Tons,267662000
2017,216299,GRAPESWINE,81,SanMateo,164,,,,Tons,1182000
2017,216299,GRAPESWINE,83,SantaBarbara,21600,3.37,72700,2010.04,Tons,146130000
2017,216299,GRAPESWINE,85,SantaClara,1600,3.44,5510,1827.04,Tons,10067000
2017,216299,GRAPESWINE,87,SantaCruz,638,2.35,1500,3226.67,Tons,4840000
2017,216299,GRAPESWINE,89,Shasta,170,2.50,425,1134.12,Tons,482000
2017,216299,GRAPESWINE,95,Solano,4110,4.62,19000,1072.05,Tons,20369000
2017,216299,GRAPESWINE,97,Sonoma,60000,3.43,206000,2807.34,Tons,578313000
2017,216299,GRAPESWINE,105,Trinity,44,1.93,85,1729.41,Tons,147000
2017,216299,GRAPESWINE,107,Tulare,9450,17.35,164000,308.00,Tons,50512000
2017,216299,GRAPESWINE,113,Yolo,14800,6.89,102000,843.25,Tons,86012000
2016,216299,GRAPESWINE,1,Alameda,2630,4.83,12700,1432.2,Tons,18189000
2016,216299,GRAPESWINE,5,Amador,4260,3.17,13500,1335.41,Tons,18028000
2016,216299,GRAPESWINE,9,Calaveras,696,2.89,2010,1375.62,Tons,2765000
2016,216299,GRAPESWINE,11,Colusa,1390,10.36,14400,542.15,Tons,7807000
2016,216299,GRAPESWINE,13,ContraCosta,2500,5.04,12600,1096.03,Tons,13810000
2016,216299,GRAPESWINE,17,ElDorado,2340,2.58,6030,1449.59,Tons,8741000
2016,216299,GRAPESWINE,19,Fresno,75500,10,755000,382.85,Tons,289053000
2016,216299,GRAPESWINE,29,Kern,29700,7.85,233000,298.54,Tons,69559000
2016,216299,GRAPESWINE,31,Kings,3730,13.62,50800,286.22,Tons,14540000
2016,216299,GRAPESWINE,33,Lake,8230,5.65,46500,1691.27,Tons,78644000
2016,216299,GRAPESWINE,39,Madera,37300,11.23,419000,314.01,Tons,131571000
2016,216299,GRAPESWINE,41,Marin,182,1.37,250,3468,Tons,867000
2016,216299,GRAPESWINE,43,Mariposa,73,0.52,38,1263.16,Tons,48000
2016,216299,GRAPESWINE,45,Mendocino,16900,3.39,57300,1540.79,Tons,88287000
2016,216299,GRAPESWINE,47,Merced,13600,11.18,152000,525.6,Tons,79891000
2016,216299,GRAPESWINE,53,Monterey,44800,3.84,172000,1388.91,Tons,238892000
2016,216299,GRAPESWINE,55,Napa,43400,3.53,153000,4768.02,Tons,729507000
2016,216299,GRAPESWINE,57,Nevada,417,3.33,1390,1386.33,Tons,1927000
2016,216299,GRAPESWINE,61,Placer,265,3.11,823,1245.44,Tons,1025000
2016,216299,GRAPESWINE,65,Riverside,2630,2.09,5500,1746.18,Tons,9604000
2016,216299,GRAPESWINE,67,Sacramento,33900,8.5,288000,639.59,Tons,184202000
2016,216299,GRAPESWINE,69,SanBenito,4380,4.86,21300,1460.89,Tons,31117000
2016,216299,GRAPESWINE,71,SanBernardino,268,0.72,192,1463.54,Tons,281000
2016,216299,GRAPESWINE,73,SanDiego,930,2.71,2520,1192.46,Tons,3005000
2016,216299,GRAPESWINE,77,SanJoaquin,98000,7.31,716000,594.67,Tons,425781000
2016,216299,GRAPESWINE,79,SanLuisObispo,40300,3.87,156000,1557.05,Tons,242900000
2016,216299,GRAPESWINE,81,SanMateo,152,,,,Tons,703000
2016,216299,GRAPESWINE,83,SantaBarbara,21300,3.87,82500,1837.94,Tons,151630000
2016,216299,GRAPESWINE,85,SantaClara,1580,2.84,4490,1703.56,Tons,7649000
2016,216299,GRAPESWINE,87,SantaCruz,626,2.43,1520,2988.82,Tons,4543000
2016,216299,GRAPESWINE,89,Shasta,160,1.7,272,1110.29,Tons,302000
2016,216299,GRAPESWINE,95,Solano,4110,5.79,23800,821.85,Tons,19560000
2016,216299,GRAPESWINE,97,Sonoma,60000,3.77,226000,2595.21,Tons,586518000
2016,216299,GRAPESWINE,105,Trinity,44,1.93,85,1729.41,Tons,147000
2016,216299,GRAPESWINE,107,Tulare,9940,15.29,152000,303,Tons,46056000
2016,216299,GRAPESWINE,113,Yolo,14500,7.1,103000,788.97,Tons,81264000
2015,216299,GRAPESWINE,1,Alameda,2400,4.14,9940,1529.98,Tons,15208000
2015,216299,GRAPESWINE,5,Amador,4530,2.49,11300,1294.78,Tons,14631000
2015,216299,GRAPESWINE,9,Calaveras,900,1.90,1710,1300.00,Tons,2223000
2015,216299,GRAPESWINE,11,Colusa,1820,8.35,15200,463.82,Tons,7050000
2015,216299,GRAPESWINE,13,ContraCosta,1900,4.44,8430,874.02,Tons,7368000
2015,216299,GRAPESWINE,17,ElDorado,2220,2.42,5370,1508.19,Tons,8099000
2015,216299,GRAPESWINE,19,Fresno,60200,12.79,770000,312.55,Tons,240662000
2015,216299,GRAPESWINE,29,Kern,30000,8.63,259000,303.26,Tons,78544000
2015,216299,GRAPESWINE,31,Kings,3330,12.19,40600,261.01,Tons,10597000
2015,216299,GRAPESWINE,33,Lake,8060,4.81,38800,1633.76,Tons,63390000
2015,216299,GRAPESWINE,39,Madera,39000,11.44,446000,302.00,Tons,134694000
2015,216299,GRAPESWINE,41,Marin,175,0.59,103,3368.93,Tons,347000
2015,216299,GRAPESWINE,43,Mariposa,73,0.52,38,1263.16,Tons,48000
2015,216299,GRAPESWINE,45,Mendocino,16900,3.39,57300,1540.79,Tons,88287000
2015,216299,GRAPESWINE,47,Merced,13700,9.20,126000,424.01,Tons,53425000
2015,216299,GRAPESWINE,53,Monterey,44300,3.16,140000,1328.04,Tons,185925000
2015,216299,GRAPESWINE,55,Napa,43000,2.88,124000,4410.76,Tons,546934000
2015,216299,GRAPESWINE,57,Nevada,352,1.87,659,1349.01,Tons,889000
2015,216299,GRAPESWINE,61,Placer,215,1.63,350,1488.57,Tons,521000
2015,216299,GRAPESWINE,65,Riverside,2630,3.80,10000,1363.90,Tons,13639000
2015,216299,GRAPESWINE,67,Sacramento,31200,7.12,222000,577.18,Tons,128134000
2015,216299,GRAPESWINE,69,SanBenito,4120,3.37,13900,1321.80,Tons,18373000
2015,216299,GRAPESWINE,71,SanBernardino,373,0.46,171,608.19,Tons,104000
2015,216299,GRAPESWINE,73,SanDiego,969,3.00,2910,1454.64,Tons,4233000
2015,216299,GRAPESWINE,77,SanJoaquin,97900,6.23,610000,576.15,Tons,351453000
2015,216299,GRAPESWINE,79,SanLuisObispo,39000,2.53,98800,1482.14,Tons,146435000
2015,216299,GRAPESWINE,81,SanMateo,165,,,,Tons,677000
2015,216299,GRAPESWINE,83,SantaBarbara,21300,3.12,66400,1599.37,Tons,106198000
2015,216299,GRAPESWINE,85,SantaClara,1540,2.09,3220,1710.87,Tons,5509000
2015,216299,GRAPESWINE,87,SantaCruz,656,1.26,827,2844.01,Tons,2352000
2015,216299,GRAPESWINE,89,Shasta,160,1.20,192,817.71,Tons,157000
2015,216299,GRAPESWINE,95,Solano,4440,4.03,17900,837.32,Tons,14988000
2015,216299,GRAPESWINE,97,Sonoma,58200,3.14,183000,2440.10,Tons,446539000
2015,216299,GRAPESWINE,107,Tulare,8860,16.25,144000,297.00,Tons,42768000
2015,216299,GRAPESWINE,113,Yolo,13300,6.84,91000,774.31,Tons,70462000
2014,216299,GRAPESWINE,1,Alameda,2420,4.38,10600,1486.42,Tons,15756000
2014,216299,GRAPESWINE,5,Amador,3900,3.18,12400,1271.85,Tons,15771000
2014,216299,GRAPESWINE,9,Calaveras,900,2.18,1960,1391.33,Tons,2727000
2014,216299,GRAPESWINE,11,Colusa,2170,8.29,18000,548.61,Tons,9875000
2014,216299,GRAPESWINE,17,ElDorado,2110,2.53,5340,1420.04,Tons,7583000
2014,216299,GRAPESWINE,19,Fresno,58700,11.24,660000,391.95,Tons,258688000
2014,216299,GRAPESWINE,29,Kern,27800,9.82,273000,314.21,Tons,85780000
2014,216299,GRAPESWINE,31,Kings,4800,11.96,57400,289.79,Tons,16634000
2014,216299,GRAPESWINE,33,Lake,8070,4.80,38700,1521.11,Tons,58867000
2014,216299,GRAPESWINE,39,Madera,40300,9.73,392000,336.81,Tons,132031000
2014,216299,GRAPESWINE,41,Marin,175,1.86,325,2163.08,Tons,703000
2014,216299,GRAPESWINE,43,Mariposa,77,0.77,59,1118.64,Tons,66000
2014,216299,GRAPESWINE,45,Mendocino,16900,3.67,62000,1511.15,Tons,93691000
2014,216299,GRAPESWINE,47,Merced,12900,8.60,111000,300.92,Tons,33402000
2014,216299,GRAPESWINE,53,Monterey,46000,4.35,200000,1236.79,Tons,247357000
2014,216299,GRAPESWINE,55,Napa,43600,4.04,176000,4061.43,Tons,714811000
2014,216299,GRAPESWINE,57,Nevada,342,3.86,1320,1341.67,Tons,1771000
2014,216299,GRAPESWINE,61,Placer,212,2.57,545,1390.83,Tons,758000
2014,216299,GRAPESWINE,65,Riverside,2720,3.93,10700,1274.30,Tons,13635000
2014,216299,GRAPESWINE,67,Sacramento,30000,7.50,225000,581.62,Tons,130864000
2014,216299,GRAPESWINE,69,SanBenito,4470,2.86,12800,1198.05,Tons,15335000
2014,216299,GRAPESWINE,71,SanBernardino,270,0.53,144,798.61,Tons,115000
2014,216299,GRAPESWINE,73,SanDiego,923,4.60,4250,1545.41,Tons,6568000
2014,216299,GRAPESWINE,77,SanJoaquin,102000,8.00,816000,590.00,Tons,481440000
2014,216299,GRAPESWINE,79,SanLuisObispo,37400,3.82,143000,1425.07,Tons,203785000
2014,216299,GRAPESWINE,81,SanMateo,154,,,,Tons,1031000
2014,216299,GRAPESWINE,83,SantaBarbara,21100,4.29,90600,1713.64,Tons,155256000
2014,216299,GRAPESWINE,85,SantaClara,1600,3.53,5640,1483.69,Tons,8368000
2014,216299,GRAPESWINE,87,SantaCruz,654,2.55,1670,2921.56,Tons,4879000
2014,216299,GRAPESWINE,89,Shasta,160,2.90,464,1133.62,Tons,526000
2014,216299,GRAPESWINE,95,Solano,4380,5.25,23000,766.13,Tons,17621000
2014,216299,GRAPESWINE,97,Sonoma,58300,4.39,256000,2315.62,Tons,592798000
2014,216299,GRAPESWINE,107,Tulare,11200,15.98,179000,311.00,Tons,55669000
2014,216299,GRAPESWINE,113,Yolo,12600,7.37,92800,743.10,Tons,68960000
2013,216299,GRAPESWINE,001,Alameda,2800,5.82,16300,979.45,tons,15965000
